lucode,LULC_desc,LULC_veg,root_depth,Kc
0,NoData,0,0,0
1,PalmSwamp,0,3500,1
2,BroadleafForest,1,3500,1
3,BroadleafForest,1,3500,1
4,BroadleafForest,1,3500,1
5,BroadleafForest,1,3500,1
6,BroadleafForest,1,3500,1
7,BroadleafForest,1,3500,1
8,BroadleafForest,1,3500,1
9,BroadleafForest,1,3500,1
10,BroadleafForest,1,3500,1
11,PalmSwamp,0,3500,1
12,BroadleafForest,1,3500,1
13,BroadleafForest,1,3500,1
14,PalmSwamp,0,3500,1
15,BroadleafForest,1,3500,1
16,TransitionalWoodlandScrub,1,2750,0.75
17,TransitionalWoodlandScrub,1,2750,0.75
18,TransitionalWoodlandScrub,1,2750,0.75
19,TransitionalWoodlandScrub,1,2750,0.75
20,TransitionalWoodlandScrub,1,2750,0.75
21,TransitionalWoodlandScrub,1,2750,0.75
22,TransitionalWoodlandScrub,1,2750,0.75
23,InlandForestedWetland,0,3500,1
24,InlandForestedWetland,0,3500,1
25,Shrubland,1,2000,0.5
26,Shrubland,1,2000,0.5
27,Shrubland,1,2000,0.5
28,Shrubland,1,2000,0.5
29,Shrubland,1,2000,0.5
30,Shrubland,1,2000,0.5
31,Shrubland,1,2000,0.5
32,InlandMarsh,0,2000,0.5
33,InlandMarsh,0,2000,0.5
34,Grassland,1,2000,0.65
35,Grassland,1,2000,0.65
36,Grassland,1,2000,0.65
37,InlandMarsh,0,2000,0.5
38,Grassland,1,2000,0.65
39,Grassland,1,2000,0.65
40,Grassland,1,2000,0.65
41,Grassland,1,2000,0.65
42,SparseVegetation,1,1175,0.365
43,SparseVegetation,1,1175,0.365
44,SparseVegetation,1,1175,0.365
45,SparseVegetation,1,1175,0.365
46,AgriculturalVegetation,1,1000,0.65
47,ArtificialSurface,0,0,0.29
48,BeachDuneAndSand,0,500,0.2
49,BareArea,0,500,0.2
50,BareArea,0,500,0.2
51,BareArea,0,500,0.2
52,BareRock,0,500,0.2
53,WaterBody,0,10,1
54,GlacierAndPerpetualSnow,0,0,0.4
56,PermanentCropland,1,2250,0.825
57,AgriculturalVegetation,1,1000,0.65
58,ForestPlantation ,1,3500,1
255,NoData,0,0,0
