LULC_desc,lucode,usle_c,usle_p
NoData,0,0.000,0
PalmSwamp,1,0.060,1
BroadleafForest,2,0.001,1
BroadleafForest,3,0.001,1
BroadleafForest,4,0.001,1
BroadleafForest,5,0.001,1
BroadleafForest,6,0.001,1
BroadleafForest,7,0.001,1
BroadleafForest,8,0.001,1
BroadleafForest,9,0.001,1
BroadleafForest,10,0.001,1
PalmSwamp,11,0.060,1
BroadleafForest,12,0.001,1
BroadleafForest,13,0.001,1
PalmSwamp,14,0.060,1
BroadleafForest,15,0.001,1
TransitionalWoodlandScrub,16,0.010,1
TransitionalWoodlandScrub,17,0.010,1
TransitionalWoodlandScrub,18,0.010,1
TransitionalWoodlandScrub,19,0.010,1
TransitionalWoodlandScrub,20,0.010,1
TransitionalWoodlandScrub,21,0.010,1
TransitionalWoodlandScrub,22,0.010,1
InlandForestedWetland,23,0.060,1
InlandForestedWetland,24,0.060,1
Shrubland,25,0.080,1
Shrubland,26,0.080,1
Shrubland,27,0.080,1
Shrubland,28,0.080,1
Shrubland,29,0.080,1
Shrubland,30,0.080,1
Shrubland,31,0.080,1
InlandMarsh,32,0.060,1
InlandMarsh,33,0.060,1
Grassland,34,0.080,1
Grassland,35,0.080,1
Grassland,36,0.080,1
InlandMarsh,37,0.060,1
Grassland,38,0.080,1
Grassland,39,0.080,1
Grassland,40,0.080,1
Grassland,41,0.080,1
SparseVegetation,42,0.010,1
SparseVegetation,43,0.010,1
SparseVegetation,44,0.010,1
SparseVegetation,45,0.010,1
AgriculturalVegetation,46,0.500,0.5
ArtificialSurface,47,0.100,1
BeachDuneAndSand,48,0.350,1
BareArea,49,0.350,1
BareArea,50,0.350,1
BareArea,51,0.350,1
BareRock,52,0.000,1
WaterBody,53,0.000,1
GlacierAndPerpetualSnow,54,0.000,1
PermanentCropland,56,0.150,1
AgriculturalVegetation,57,0.500,0.5
ForestPlantation ,58,0.001,1
NoData,0,0.000,0
